timestamp,pid,nome,usuario,cpu,ram_percent,ram_mb,status,tempo_execucao,latencia_ms
2026-05-23 23:50:03,0,System Idle Process,NT AUTHORITY\SYSTEM,1474.5,0.0,0.01,running,20597d 2h 50min,8.56
2026-05-23 23:50:03,4,System,NT AUTHORITY\SYSTEM,59.4,0.0,0.01,running,20597d 2h 50min,6.69
2026-05-23 23:50:03,236,,,0.0,0.53,41.99,stopped,1d 14h 31min,7.66
2026-05-23 23:50:04,280,Registry,,0.0,0.17,13.18,running,1d 14h 31min,6.01
2026-05-23 23:50:04,460,chrome.exe,JORTIEKE\ricar,0.0,0.08,6.21,running,0d 3h 43min,0.03
2026-05-23 23:50:04,752,cmd.exe,JORTIEKE\ricar,0.0,0.01,0.44,running,0d 0h 3min,0.02
2026-05-23 23:50:04,828,smss.exe,,0.0,0.0,0.0,running,1d 14h 31min,6.97
2026-05-23 23:50:04,1180,csrss.exe,,0.0,0.01,1.16,running,1d 14h 31min,8.22
2026-05-23 23:50:04,1288,wininit.exe,,0.0,0.01,1.11,running,1d 14h 31min,9.07
2026-05-23 23:50:04,1364,services.exe,,0.0,0.06,5.09,running,1d 14h 31min,7.09
2026-05-23 23:50:05,1384,LsaIso.exe,,0.0,0.01,0.5,running,1d 14h 31min,5.71
2026-05-23 23:50:05,1392,lsass.exe,,0.0,0.13,9.93,running,1d 14h 31min,5.28
2026-05-23 23:50:05,1404,Code.exe,JORTIEKE\ricar,0.0,2.82,222.27,running,0d 0h 4min,0.01
2026-05-23 23:50:05,1444,chrome.exe,JORTIEKE\ricar,0.0,0.04,3.22,running,0d 3h 43min,0.01
2026-05-23 23:50:05,1456,svchost.exe,,0.0,0.02,1.58,running,1d 14h 31min,8.03
2026-05-23 23:50:05,1524,svchost.exe,,0.0,0.12,9.41,running,1d 14h 31min,6.51
2026-05-23 23:50:05,1552,svchost.exe,,0.0,0.05,4.19,running,1d 14h 31min,6.43
2026-05-23 23:50:06,1556,fontdrvhost.exe,,0.0,0.0,0.39,running,1d 14h 31min,6.09
2026-05-23 23:50:06,1608,WUDFHost.exe,,0.0,0.01,0.96,running,1d 14h 31min,7.41
2026-05-23 23:50:06,1624,RtkAudUService64.exe,JORTIEKE\ricar,0.0,0.03,2.27,running,0d 3h 43min,0.01
2026-05-23 23:50:06,1652,svchost.exe,,0.0,0.02,1.5,running,1d 14h 31min,7.01
2026-05-23 23:50:06,1664,svchost.exe,,0.0,0.11,8.6,running,1d 14h 31min,9.88
2026-05-23 23:50:06,1708,svchost.exe,,0.0,0.03,2.43,running,1d 14h 31min,4.85
2026-05-23 23:50:06,1788,WUDFHost.exe,,0.0,0.06,4.52,running,1d 14h 31min,6.38
2026-05-23 23:50:07,1800,RemoteDesktopCompanion.exe,JORTIEKE\ricar,0.0,0.12,9.61,running,0d 3h 44min,0.03
2026-05-23 23:50:07,1876,chrome.exe,JORTIEKE\ricar,62.1,5.14,406.11,running,0d 0h 28min,0.02
2026-05-23 23:50:07,1920,WUDFHost.exe,,0.0,0.02,1.36,running,1d 14h 31min,12.61
2026-05-23 23:50:07,2004,chrome.exe,JORTIEKE\ricar,0.0,0.11,8.34,running,0d 0h 37min,0.02
2026-05-23 23:50:07,2040,svchost.exe,,0.0,0.01,0.74,running,1d 14h 31min,8.28
2026-05-23 23:50:07,2236,svchost.exe,,0.0,0.02,1.36,running,1d 14h 31min,7.89
2026-05-23 23:50:07,2244,svchost.exe,,0.0,0.01,1.02,running,1d 14h 31min,7.17
2026-05-23 23:50:07,2296,svchost.exe,JORTIEKE\ricar,0.0,0.01,1.05,running,0d 3h 44min,0.05
2026-05-23 23:50:08,2388,svchost.exe,,0.0,0.03,2.04,running,0d 0h 3min,4.85
2026-05-23 23:50:08,2400,IntelCpHDCPSvc.exe,,0.0,0.01,0.69,running,1d 14h 31min,4.9
2026-05-23 23:50:08,2416,svchost.exe,,0.0,0.01,1.12,running,1d 14h 31min,8.74
2026-05-23 23:50:08,2480,WUDFHost.exe,,0.0,0.02,1.2,running,1d 14h 31min,6.95
2026-05-23 23:50:08,2532,svchost.exe,,0.0,0.02,1.36,running,1d 14h 31min,6.22
2026-05-23 23:50:08,2560,svchost.exe,,0.0,0.08,6.3,running,1d 14h 31min,4.95
2026-05-23 23:50:08,2596,svchost.exe,,0.0,0.02,1.9,running,1d 14h 31min,5.26
